注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"7102","","","約定","-","-","12/26 09:40:58","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","6","6","-","-","43,960.0","43,960.0","43,950.0","263,760","0"
"7101","","","約定","-","-","12/26 09:38:58","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","6","6","-","-","43,850.0","43,850.0","43,950.0","263,100","0"
"7100","","","約定","市場執行済","-","12/26 09:29:00","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,800.0","43,800.0","43,950.0","43,800","0"
"7099","","","約定","市場執行済","-","12/26 09:29:00","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","43,800.0","43,800.0","43,950.0","87,600","0"
"7098","","","約定","-","-","12/26 09:28:34","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","43,830.0","43,815.0","43,950.0","87,630","0"
"7097","","","-","取消済","-","12/26 09:28:28","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が43,690円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","43,950.0","0","0"
"7096","","","約定","-","-","12/26 09:28:26","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,830.0","43,820.0","43,950.0","43,820","0"
"7095","","","約定","市場執行済","-","12/26 09:27:59","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","43,830.0","43,830.0","43,950.0","87,660","0"
"7094","","","約定","市場執行済","-","12/26 09:27:59","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,830.0","43,830.0","43,950.0","43,830","0"
"7093","","","約定","-","-","12/26 09:27:30","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","43,830.0","43,820.0","43,950.0","87,640","0"
